School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Booker T Washington High,Norfolk City Public Schools,24.0,56.0,5.0
Booker T. Washington Elementary,Suffolk City Public Schools,43.0,54.0,3.0
Boones Mill Elementary,Franklin County Public Schools,55.0,39.0,0.0
Boonsboro Elementary,Bedford County Public Schools,39.0,61.0,0.0
Botetourt Elementary,Gloucester County Public Schools,43.0,55.0,0.0
Bowling Green Elementary,Caroline County Public Schools,52.0,46.0,0.0
Boyce Elementary,Clarke County Public Schools,52.0,48.0,0.0
Braddock Elementary,Fairfax County Public Schools,29.0,66.0,2.0
Brambleton Middle,Loudoun County Public Schools,30.0,69.0,0.0
Brandon Middle,Virginia Beach City Public Schools,51.0,46.0,0.0
Breckinridge Elementary,Botetourt County Public Schools,46.0,50.0,0.0
Breckinridge Middle,Roanoke City Public Schools,41.0,45.0,3.0
Bren Mar Park Elementary,Fairfax County Public Schools,29.0,71.0,0.0
Brentsville District High,Prince William County Public Schools,24.0,75.0,1.0
Bristow Run Elementary,Prince William County Public Schools,27.0,71.0,0.0
Broad Rock Elementary,Richmond City Public Schools,31.0,69.0,0.0
Broad Run High,Loudoun County Public Schools,26.0,73.0,1.0
Broadus Wood Elementary,Albemarle County Public Schools,41.0,59.0,0.0
Broadway High,Rockingham County Public Schools,41.0,59.0,0.0
Brock Road Elementary,Spotsylvania County Public Schools,41.0,57.0,0.0
Brooke Point High,Stafford County Public Schools,33.0,55.0,4.0
Brookfield Elementary,Fairfax County Public Schools,25.0,72.0,1.0
Brookland Middle,Henrico County Public Schools,35.0,58.0,5.0
Brookneal Elementary,Campbell County Public Schools,57.0,43.0,0.0
Brookville High,Campbell County Public Schools,49.0,46.0,0.0
Brookville Middle,Campbell County Public Schools,56.0,44.0,0.0
Brookwood Elementary,Virginia Beach City Public Schools,53.0,48.0,0.0
Brownsville Elementary,Albemarle County Public Schools,46.0,51.0,0.0
Brunswick High,Brunswick County Public Schools,48.0,32.0,7.0
Bruton High,York County Public Schools,30.0,58.0,6.0
Bryant High,Fairfax County Public Schools,18.0,75.0,5.0
Buchanan Elementary,Botetourt County Public Schools,39.0,61.0,0.0
Buckingham Co Elementary,Buckingham County Public Schools,50.0,41.0,0.0
Buckingham County High,Buckingham County Public Schools,40.0,46.0,0.0
Buckingham County Middle,Buckingham County Public Schools,49.0,49.0,0.0
Buckland Mills Elementary,Prince William County Public Schools,34.0,62.0,0.0
Bucknell Elementary,Fairfax County Public Schools,24.0,68.0,2.0
Buffalo Gap High,Augusta County Public Schools,51.0,45.0,2.0
Buffalo Trail Elementary,Loudoun County Public Schools,22.0,75.0,1.0
Buford Middle,Charlottesville City Public Schools,34.0,61.0,4.0
Bull Run Elementary,Fairfax County Public Schools,34.0,65.0,0.0
Bull Run Middle,Prince William County Public Schools,18.0,75.0,1.0
Burlington Elementary,Roanoke County Public Schools,59.0,38.0,0.0
Burnley-Moran Elementary,Charlottesville City Public Schools,39.0,53.0,3.0
Burnt Chimney Elementary,Franklin County Public Schools,50.0,50.0,0.0
Bush Hill Elementary,Fairfax County Public Schools,39.0,61.0,0.0
